zipcode,median_income_2018,median_housing_costs_monthly_2018,yearly_housing_costs_2018,median_income_2019,median_housing_costs_monthly_2019,yearly_housing_costs_2019,median_income_2020,median_housing_costs_monthly_2020,yearly_housing_costs_2020,median_income_2021,median_housing_costs_monthly_2021,yearly_housing_costs_2021,median_income_2022,median_housing_costs_monthly_2022,yearly_housing_costs_2022,median_income_2023,median_housing_costs_monthly_2023,yearly_housing_costs_2023
90001,38521,1164,13968,43360,1221,14652,48011,1245,14940,52806,1301,15612,57698,1413,16956,60751,1493,17916
90002,35410,1254,15048,37285,1301,15612,42245,1396,16752,46159,1417,17004,54221,1558,18696,56158,1648,19776
90003,37226,1261,15132,40598,1304,15648,42220,1352,16224,47733,1396,16752,51275,1503,18036,54781,1609,19308
90004,48754,1296,15552,49675,1371,16452,52775,1469,17628,54947,1591,19092,58420,1767,21204,62655,1847,22164
90005,35149,1166,13992,38491,1264,15168,42398,1332,15984,44913,1446,17352,49226,1596,19152,52755,1651,19812
90006,35411,1091,13092,37072,1134,13608,37375,1175,14100,41068,1261,15132,47599,1369,16428,49847,1415,16980
90007,25226,1177,14124,27406,1218,14616,30530,1241,14892,33222,1277,15324,36326,1412,16944,36032,1504,18048
90008,39907,1279,15348,43364,1335,16020,47230,1404,16848,49379,1470,17640,57880,1596,19152,61822,1741,20892
90010,61849,1967,23604,63112,2000,24000,70500,2123,25476,76547,2342,28104,92454,2396,28752,100901,2683,32196
90011,36954,1198,14376,40940,1262,15144,44616,1324,15888,47126,1402,16824,51819,1507,18084,53781,1592,19104
90012,42275,1528,18336,47027,1727,20724,49905,1774,21288,53278,1928,23136,58444,2077,24924,67635,2170,26040
90013,21676,889,10668,22316,884,10608,21175,859,10308,22291,970,11640,24853,1200,14400,32848,1295,15540
90014,35857,1649,19788,40641,1828,21936,36429,1796,21552,31332,1648,19776,26550,1567,18804,33822,1761,21132
90015,39016,1305,15660,43890,1527,18324,48743,1997,23964,53062,2138,25656,61959,2394,28728,63211,2527,30324
90016,46680,1334,16008,48715,1390,16680,49958,1507,18084,53659,1570,18840,63090,1758,21096,71067,1862,22344
90017,31423,1044,12528,35605,1145,13740,36870,1170,14040,44607,1338,16056,46626,1550,18600,51317,1684,20208
90018,41768,1243,14916,45984,1301,15612,49644,1367,16404,55275,1451,17412,58987,1612,19344,63671,1607,19284
90019,52625,1424,17088,56389,1518,18216,58313,1587,19044,61616,1699,20388,65972,1813,21756,71395,1832,21984
90020,46504,1325,15900,49068,1399,16788,50207,1456,17472,51013,1549,18588,55321,1673,20076,55832,1755,21060
90021,15149,710,8520,21635,743,8916,21625,833,9996,25364,817,9804,29659,1039,12468,32250,1065,12780
90022,43366,1117,13404,46051,1151,13812,51183,1170,14040,57464,1233,14796,65142,1357,16284,67829,1435,17220
90023,41308,1119,13428,42972,1167,14004,45991,1206,14472,48293,1274,15288,52918,1382,16584,56623,1423,17076
90024,63306,2277,27324,65855,2361,28332,63344,2443,29316,67422,2587,31044,74852,2794,33528,79994,2884,34608
90025,83655,2004,24048,87280,2139,25668,97791,2237,26844,100453,2322,27864,103511,2455,29460,104627,2506,30072
90026,60820,1367,16404,65269,1439,17268,67435,1500,18000,70436,1642,19704,80549,1827,21924,85835,1939,23268
90027,64091,1455,17460,66947,1541,18492,71651,1633,19596,78356,1741,20892,86826,1940,23280,90532,2023,24276
90028,43998,1386,16632,45499,1432,17184,50253,1518,18216,52814,1615,19380,57258,1740,20880,59393,1813,21756
90029,39562,1165,13980,41998,1213,14556,45004,1275,15300,50822,1392,16704,56529,1585,19020,60793,1668,20016
90031,44343,1147,13764,48479,1188,14256,51076,1225,14700,53319,1301,15612,59889,1404,16848,62119,1474,17688
90032,50989,1205,14460,57225,1303,15636,59723,1353,16236,65761,1478,17736,76608,1614,19368,81563,1762,21144
90033,35548,1047,12564,38266,1111,13332,43646,1168,14016,49734,1236,14832,50616,1360,16320,56001,1429,17148
90034,71295,1682,20184,75714,1776,21312,80773,1862,22344,88490,1954,23448,97511,2155,25860,103082,2238,26856
90035,79534,1982,23784,89337,2089,25068,99367,2133,25596,101570,2239,26868,110520,2441,29292,108224,2567,30804
90036,80998,2214,26568,80539,2309,27708,84315,2323,27876,87868,2429,29148,97583,2652,31824,102877,2762,33144
90037,33856,1128,13536,35424,1175,14100,37945,1245,14940,45128,1368,16416,52238,1467,17604,56417,1527,18324
90038,39984,1256,15072,47116,1360,16320,48786,1440,17280,51096,1558,18696,57102,1721,20652,61566,1775,21300
90039,86031,1817,21804,90538,1865,22380,88104,1861,22332,99226,2025,24300,108338,2207,26484,105578,2314,27768
90040,46532,1183,14196,47120,1271,15252,54567,1234,14808,56948,1208,14496,62083,1384,16608,70909,1495,17940
90041,80547,1594,19128,85971,1664,19968,90461,1716,20592,95811,1852,22224,111938,2072,24864,111834,2198,26376
90042,59746,1416,16992,64267,1481,17772,73152,1573,18876,81853,1715,20580,89168,1903,22836,94401,2027,24324
90043,47500,1444,17328,54729,1533,18396,56285,1570,18840,60599,1641,19692,63990,1723,20676,65496,1859,22308
90044,34311,1161,13932,35981,1226,14712,39434,1273,15276,43388,1364,16368,48386,1522,18264,51433,1564,18768
90045,96812,2095,25140,104578,2250,27000,110535,2324,27888,115943,2524,30288,125692,2787,33444,132577,2916,34992
90046,67667,1688,20256,72266,1768,21216,72457,1863,22356,77162,1962,23544,87339,2176,26112,94259,2315,27780
90047,47477,1411,16932,52605,1464,17568,58830,1519,18228,62399,1633,19596,67018,1733,20796,70187,1817,21804
90048,95197,2159,25908,100586,2190,26280,93583,2167,26004,102567,2262,27144,102244,2402,28824,104227,2465,29580
90049,127658,2497,29964,129688,2632,31584,133032,2787,33444,143000,2984,35808,161605,3344,40128,169898,3451,41412
90056,86100,2138,25656,92656,2340,28080,84387,2242,26904,105744,2257,27084,123457,2609,31308,127252,2598,31176
90057,33861,1024,12288,37700,1084,13008,41748,1154,13848,43796,1267,15204,46513,1376,16512,44876,1404,16848
90058,20982,657,7884,21964,682,8184,27708,813,9756,33146,1091,13092,34093,1077,12924,36680,1186,14232
90059,41995,1257,15084,44838,1279,15348,44839,1315,15780,47682,1443,17316,50939,1473,17676,53840,1498,17976
90061,39739,1273,15276,42500,1261,15132,47468,1358,16296,50427,1472,17664,56837,1533,18396,60114,1595,19140
90062,44835,1367,16404,49443,1432,17184,52661,1479,17748,56500,1603,19236,61422,1652,19824,63652,1741,20892
90063,46613,1166,13992,48559,1209,14508,50913,1233,14796,57026,1295,15540,69307,1447,17364,71725,1509,18108
90064,95865,2314,27768,102117,2341,28092,103045,2387,28644,109357,2487,29844,123929,2783,33396,129703,2946,35352
90065,63147,1461,17532,67479,1552,18624,76080,1663,19956,80386,1760,21120,88329,1934,23208,92903,1980,23760
90066,79088,1765,21180,83899,1850,22200,87589,1977,23724,90983,1970,23640,100344,2164,25968,107786,2305,27660
90067,129306,2926,35112,118393,3132,37584,111299,3331,39972,109704,3859,46308,125995,4001,48012,135328,4001,48012
90068,83756,2033,24396,88535,2130,25560,87327,2152,25824,90733,2191,26292,97151,2419,29028,101720,2449,29388
90069,92952,1947,23364,93380,2050,24600,90546,2196,26352,98440,2392,28704,106133,2592,31104,110705,2687,32244
90071,-666666666,-666666666,-7999999992,61875,1790,21480,61895,1773,21276,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992
90073,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992
90077,210833,4001,48012,209531,4001,48012,222982,4001,48012,200625,4001,48012,203194,4001,48012,220464,4001,48012
90079,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992
90089,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992
90094,146325,3264,39168,155417,3275,39300,170634,3541,42492,166667,3688,44256,156536,3949,47388,159904,4001,48012
90095,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992,-666666666,-666666666,-7999999992
90201,42255,1217,14604,44046,1272,15264,46109,1305,15660,49554,1377,16524,53692,1503,18036,56824,1592,19104
90210,143542,3268,39216,147270,3452,41424,152037,3771,45252,154740,4001,48012,172285,4001,48012,190382,4001,48012
90211,82212,2043,24516,86437,2059,24708,96111,2391,28692,89946,2590,31080,115025,2920,35040,118125,3144,37728
90212,93846,2270,27240,95080,2411,28932,86496,2337,28044,91663,2478,29736,101963,2854,34248,116238,2964,35568
90220,53988,1305,15660,57074,1346,16152,61279,1334,16008,65337,1416,16992,69901,1560,18720,77535,1727,20724
90221,48762,1344,16128,51377,1385,16620,53683,1432,17184,57610,1493,17916,64439,1610,19320,68191,1660,19920
90222,45689,1302,15624,49894,1346,16152,57101,1483,17796,63843,1520,18240,68722,1655,19860,76467,1744,20928
